"","ACCOUNT_ID","COUNTRY_OF_RESIDENCE_NAME","Recency","Frequency","Monetary","LAST_DATE","R_Score","F_Score","M_Score","Total_Score"
"291276","1012455","Cyprus",0.184930555555556,21,478.817768,2015-02-06,5,5,5,555
"300671","1019309","UAE",0.217893518518519,16,248.725509375,2015-02-06,5,5,5,555
"123961","1018531","United Kingdom",0.441979166666667,25,200.608929612,2015-02-06,5,5,5,555
"373479","1017819","UAE",0.630011574074074,9,178.516796050094,2015-02-06,5,5,5,555
"16749","1007732","Virgin Islands, British",0.518090277777778,9,113.755223202699,2015-02-06,5,5,4,554
"115090","1016797","United Kingdom",0.0248148148148148,82,87.3702255818293,2015-02-06,5,5,4,554
"371676","1016597","Ukraine",0.553877314814815,15,5.73828900447886,2015-02-06,5,5,2,552
"132227","1017539","United Kingdom",0.20005787037037,185,4.51125765243243,2015-02-06,5,5,2,552
"168041","1000133","Netherlands",0.0531018518518519,77,3.85644266602584,2015-02-06,5,5,2,552
"62019","1014786","Malta",0.495150462962963,8,748.809185078997,2015-02-06,5,4,5,545
"222540","1016347","Seychelles",0.49443287037037,7,56.849989356873,2015-02-06,5,4,4,544
"256575","1021612","United Kingdom",0.413865740740741,6,39.6654535,2015-02-06,5,4,4,544
"2639","1009031","Malta",0.672407407407407,6,34.9640434726186,2015-02-06,5,4,4,544
"240557","1018147","United Kingdom",0.61125,8,31.7537562,2015-02-06,5,4,3,543
"145","1022046","Virgin Islands, British",0.0655787037037037,4,26.9784868933299,2015-02-06,5,4,3,543
"69960","1006727","United Kingdom",0.296689814814815,8,22.4370052556449,2015-02-06,5,4,3,543
"117811","1022024","United Kingdom",0.0494907407407407,4,15.854865075,2015-02-06,5,4,3,543
"346863","1012838","Australia",0.680023148148148,6,4.4,2015-02-06,5,4,2,542
"163324","1005340","Australia",0.0233217592592593,4,0,2015-02-06,5,4,2,542
"173233","1017323","UAE",0.316539351851852,3,432.721969006381,2015-02-06,5,3,5,535
"173366","1017303","UAE",0.383368055555556,2,324.541476754785,2015-02-06,5,3,5,535
"101536","1011302","UAE",0.66568287037037,2,31.95045,2015-02-06,5,3,3,533
"286068","1022520","New Zealand",0.0534375,3,24.5643333333333,2015-02-06,5,3,3,533
"112599","1023438","United Kingdom",0.0248148148148148,1,254.016,2015-02-06,5,2,5,525
"158391","1023410","Australia",0.0254166666666667,1,0,2015-02-06,5,2,2,522
"90932","1009856","India",0.700891203703704,1,0,2015-02-06,5,2,2,522
"157199","1005901","United Kingdom",0.905231481481481,172,3100.03674418605,2015-02-06,4,5,5,455
"287144","1016305","Virgin Islands, British",1.47702546296296,17,1057.47126901166,2015-02-06,4,5,5,455
"67636","1016651","Malta",0.781342592592593,9,186.630129833895,2015-02-06,4,5,5,455
"146506","1016705","United Kingdom",0.98369212962963,9,129.121406444444,2015-02-06,4,5,4,454
"286095","1016798","Australia",1.5053587962963,9,33.2170555555556,2015-02-06,4,5,4,454
"111641","1002455","United Kingdom",0.957233796296296,11,17.4612907636364,2015-02-06,4,5,3,453
"304085","1008764","Australia",0.747777777777778,12,7.05833333333333,2015-02-06,4,5,2,452
"161654","1002153","Australia",0.94474537037037,10,7.01381,2015-02-06,4,5,2,452
"1258","1019750","UAE",1.12678240740741,4,529.539076693486,2015-02-06,4,4,5,445
"125025","1006661","UAE",1.49694444444444,6,493.6344525,2015-02-06,4,4,5,445
"286402","1009288","Norway",1.48674768518519,6,108.890698673658,2015-02-06,4,4,4,444
"180173","1018396","Seychelles",1.23612268518519,4,67.5408483119548,2015-02-06,4,4,4,444
"249375","1018265","United Kingdom",1.24668981481481,6,50.0705385,2015-02-06,4,4,4,444
"297422","1017668","United Kingdom",1.3206712962963,7,34.9783821428571,2015-02-06,4,4,4,444
"92457","1016463","UAE",1.48513888888889,4,0,2015-02-06,4,4,2,442
"292852","1012845","UAE",1.62435185185185,2,3359.80158988727,2015-02-06,4,3,5,435
"284981","1014897","Australia",1.56943287037037,3,77.2933333333333,2015-02-06,4,3,4,434
"161808","1009882","New Zealand",1.70037037037037,3,55.3333333333333,2015-02-06,4,3,4,434
"291157","1019637","Malta",1.13230324074074,2,5.36627211140244,2015-02-06,4,3,2,432
"293686","1017767","UAE",1.30447916666667,2,0,2015-02-06,4,3,2,432
"66722","1017432","India",1.36078703703704,2,0,2015-02-06,4,3,2,432
"59076","1016508","Malta",1.49310185185185,2,0,2015-02-06,4,3,2,432
"141239","1018673","United Kingdom",1.6121875,3,0,2015-02-06,4,3,2,432
"163194","1007736","Australia",0.784710648148148,1,7.9,2015-02-06,4,2,3,423
"60275","1009001","UAE",0.730590277777778,1,0,2015-02-06,4,2,2,422
"376749","1023230","Seychelles",1.03099537037037,1,0,2015-02-06,4,2,2,422
"148049","1001733","United Kingdom",3.43238425925926,178,4043.52237286517,2015-02-06,3,5,5,355
"149180","1017843","United Kingdom",3.14133101851852,37,1032.42865318919,2015-02-06,3,5,5,355
"362713","1019549","United Kingdom",3.23188657407407,32,688.72828125,2015-02-06,3,5,5,355
"75745","1015348","Virgin Islands, British",2.55355324074074,24,568.704580846094,2015-02-06,3,5,5,355
"163610","1017571","Australia",3.42287037037037,18,5.37544444444444,2015-02-06,3,5,2,352
"347242","1016366","United Kingdom",2.40773148148148,11,1.01121099545455,2015-02-06,3,5,2,352
"73995","1017080","Seychelles",2.41351851851852,5,270.602618907345,2015-02-06,3,4,5,345
"284266","1007546","Australia",2.78836805555556,6,28.4499666666667,2015-02-06,3,4,3,343
"180108","1018588","Virgin Islands, British",2.65217592592593,5,11.4156176585493,2015-02-06,3,4,3,343
"159111","1016933","Australia",3.44226851851852,4,3.275,2015-02-06,3,4,2,342
"89987","1017328","Seychelles",2.38886574074074,4,0,2015-02-06,3,4,2,342
"243393","1016643","United Kingdom",2.47671296296296,2,19.08292668,2015-02-06,3,3,3,333
