"","ACCOUNT_ID","COUNTRY_OF_RESIDENCE_NAME","Recency","Frequency","Monetary","LAST_DATE","R_Score","F_Score","M_Score","Total_Score"
"3449471","1010473","Virgin Islands, British",0.315092592592593,14015,12341.9925932403,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3398366","1009182","Virgin Islands, British",0.315092592592593,11439,11982.4936508912,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3391318","1006045","Virgin Islands, British",0.315092592592593,24550,10511.2642910533,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3391461","1018838","Seychelles",0.315092592592593,12266,9570.05065273595,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3393706","1005247","Virgin Islands, British",0.315092592592593,671,9083.70145319709,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3391375","1005229","Virgin Islands, British",0.315092592592593,11745,8853.5678000464,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3391423","1014091","UAE",0.315092592592593,152,8445.35226484323,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3451358","1013991","UAE",0.315092592592593,154,8275.46847186592,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3405735","1005599","Australia",0.315092592592593,109,6325.52192752294,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3335041","1008925","United Kingdom",1.31509259259259,967,6231.47537197968,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3449260","1004976","Virgin Islands, British",0.315092592592593,142,6089.2773346398,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3399043","1009443","Virgin Islands, British",0.315092592592593,125,6007.05793087581,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3402415","1007448","Netherlands",0.315092592592593,139,5902.69886724596,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3437335","1017833","Dominica",0.315092592592593,136,5895.98843169859,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3340833","1008224","United Kingdom",1.31509259259259,354,5862.97758605082,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3393485","1024189","United Kingdom",0.315092592592593,18620,5766.73063550615,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3398353","1010165","Dominica",0.315092592592593,979,5757.1297347719,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3406914","1005071","Australia",0.315092592592593,109,5530.25489082569,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3392930","1002557","UAE",0.315092592592593,2145,5312.11643653401,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3393167","1017675","Virgin Islands, British",0.315092592592593,432,5250.25065807087,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3435297","1011483","Dominica",0.315092592592593,92,5243.61591245499,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3393171","1005773","UAE",0.315092592592593,192,5159.67233157291,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3436582","1006744","Virgin Islands, British",0.315092592592593,227,5141.57898359742,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3401410","1017684","Australia",0.315092592592593,2012,5116.14645959245,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3400824","1007869","Australia",0.315092592592593,1354,5001.22015605613,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3313497","1006574","Malta",1.31509259259259,129,4997.10264398085,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3400464","1005532","Seychelles",1.31509259259259,117,4927.85133705722,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3395478","1008885","Malta",0.315092592592593,370,4910.19132140595,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3430008","1008656","UAE",0.315092592592593,169,4861.09109365527,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3444596","1008012","UAE",0.315092592592593,124,4801.94477442439,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3391157","1000862","Cyprus",0.315092592592593,4755,4751.0010925464,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3400258","1021326","UAE",0.315092592592593,186,4684.97483455632,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3402786","1016836","United Kingdom",0.315092592592593,1980,4626.37377029303,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3395471","1009080","India",0.315092592592593,9922,4407.19569057205,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3435448","1002137","Malta",0.315092592592593,457,4389.25096896898,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3447342","1006234","Malta",0.315092592592593,301,4338.17789730349,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3418238","1023209","United Kingdom",0.315092592592593,1034,4332.73501990445,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3399561","1002117","Seychelles",0.315092592592593,977,4309.47037794276,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3438349","1001469","United Kingdom",0.315092592592593,1538,4306.15516040873,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3418611","1000723","United Kingdom",0.315092592592593,588,4256.87228362151,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3392495","1007971","Virgin Islands, British",0.315092592592593,2991,4244.24728156835,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3354156","1002089","Seychelles",1.31509259259259,218,4222.17924637806,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3405750","1006056","Australia",0.315092592592593,168,4203.38161607143,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3397759","1010182","UAE",0.315092592592593,169,4157.40108671147,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3400169","1009474","Malta",0.315092592592593,130,4155.23249727699,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3354945","1000957","Seychelles",1.31509259259259,214,4125.7793411834,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3397159","1020968","United Kingdom",0.315092592592593,100,4116.9268713761,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3401404","1004035","Australia",0.315092592592593,165,4101.81431757576,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3411853","1020841","United Kingdom",0.315092592592593,829,4081.96635418505,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3398484","1005552","UAE",0.315092592592593,1108,4080.39576267472,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3398329","1018013","Virgin Islands, British",0.315092592592593,1284,4055.01550662567,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3402058","1019028","Australia",0.315092592592593,202,4047.98302722772,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3393739","1017663","Virgin Islands, British",0.315092592592593,761,4029.39995017065,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3325023","1002477","Australia",1.31509259259259,90,3998.41936,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3411229","1022297","United Kingdom",0.315092592592593,94,3972.70966489362,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3437780","1013044","Seychelles",0.315092592592593,163,3887.2511347751,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3412420","1000813","United Kingdom",0.315092592592593,140,3872.09806964164,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3406164","1008630","Australia",0.315092592592593,473,3837.11810211416,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3440959","1013439","Malta",0.315092592592593,105,3832.03935255501,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3413810","1002161","United Kingdom",0.315092592592593,97,3814.46009974928,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3313194","1021593","UAE",1.31509259259259,911,3803.54015842508,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3444954","1022527","Virgin Islands, British",0.315092592592593,102,3796.1268891862,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3435431","1005770","United Kingdom",0.315092592592593,2147,3732.76960392666,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3457425","1020709","Dominica",0.315092592592593,140,3719.68369326441,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3391235","1005945","United Kingdom",0.315092592592593,32106,3708.51147711624,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3391387","1003789","Dominica",0.315092592592593,388,3683.68731694445,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3407514","1023895","Australia",0.315092592592593,389,3676.89881362468,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3391333","1007374","Australia",0.315092592592593,207,3662.57668304504,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3408592","1001673","Australia",0.315092592592593,664,3657.46171024096,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3394110","1021642","United Kingdom",0.315092592592593,1293,3606.18530587483,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3393494","1001112","United Kingdom",0.315092592592593,5511,3599.93989224408,"2015-03-21 07:33:44 AEDT",5,5,5,555
"3392627","1007964","United Kingdom",0.315092592592593,840,3598.68018860794,"2015-03-21 07:33:44 AEDT",5,5,5,555
