"","ACCOUNT_ID","COUNTRY_OF_RESIDENCE_NAME","Recency","Frequency","Monetary","LAST_DATE","R_Score","F_Score","M_Score","Total_Score"
"2251822","1009182","Virgin Islands, British",0,5958,10321.4574894735,2015-03-07,5,5,5,555
"2284863","1006237","UAE",0,66,8796.97111626917,2015-03-07,5,5,5,555
"2156942","1008925","United Kingdom",0,167,7246.01020986767,2015-03-07,5,5,5,555
"2147457","1023209","United Kingdom",0,200,6963.00851989195,2015-03-07,5,5,5,555
"2296191","1007973","Malta",0,64,6791.95407349306,2015-03-07,5,5,5,555
"2177878","1000723","United Kingdom",0,182,6742.83363083297,2015-03-07,5,5,5,555
"2251824","1007563","Virgin Islands, British",0,17172,6422.40164698993,2015-03-07,5,5,5,555
"2273503","1017663","Virgin Islands, British",0,219,6066.71003157401,2015-03-07,5,5,5,555
"2290548","1017675","Virgin Islands, British",0,66,5937.46913259386,2015-03-07,5,5,5,555
"2125582","1013275","Australia",0,60,5779.2965,2015-03-07,5,5,5,555
"2273293","1007902","Virgin Islands, British",0,181,5573.80074125069,2015-03-07,5,5,5,555
"2125594","1002170","Australia",0,97,5373.06649484536,2015-03-07,5,5,5,555
"2268547","1016319","UAE",0,55,5174.3131681329,2015-03-07,5,5,5,555
"2253033","1002089","Seychelles",0,64,5065.67612132974,2015-03-07,5,5,5,555
"2512419","1006234","Malta",0,69,4777.34321001989,2015-03-07,5,5,5,555
"2198151","1000862","Cyprus",0,525,4749.31042063579,2015-03-07,5,5,5,555
"2136339","1024189","United Kingdom",0,5238,4615.96388514611,2015-03-07,5,5,5,555
"2273916","1004248","Dominica",0,1132,4510.86422072289,2015-03-07,5,5,5,555
"2257104","1002117","Seychelles",0,142,4498.88107231128,2015-03-07,5,5,5,555
"2152961","1009264","United Kingdom",0,56,4473.76169483071,2015-03-07,5,5,5,555
"2273157","1011355","Mauritius",0,124,4340.68279789238,2015-03-07,5,5,5,555
"2125726","1017684","Australia",0,702,4319.24926737892,2015-03-07,5,5,5,555
"2158672","1019200","Malta",0,67,4317.81921109209,2015-03-07,5,5,5,555
"2158815","1013355","United Kingdom",0,141,4118.69447733887,2015-03-07,5,5,5,555
